frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
17498,2025-11-27 06:19:26,salida,223,car,139,153,118,138,160,168
41538,2025-11-27 06:46:09,entrada,507,car,144,153,115,140,174,166
54194,2025-11-27 07:00:12,salida,650,truck,156,151,140,135,172,167
61614,2025-11-27 07:08:27,salida,733,truck,152,151,137,136,168,167
70240,2025-11-27 07:18:02,salida,948,truck,164,149,149,136,179,162
73438,2025-11-27 07:21:35,salida,1058,car,141,152,122,139,160,166
78204,2025-11-27 07:26:53,salida,1213,car,150,151,133,137,168,165
79484,2025-11-27 07:28:18,salida,1267,truck,148,150,129,134,168,167
90070,2025-11-27 07:40:04,entrada,1645,car,156,151,140,138,172,164
106128,2025-11-27 07:57:55,salida,2297,car,153,151,136,136,170,167
110228,2025-11-27 08:02:28,entrada,2390,car,147,153,114,137,180,170
117182,2025-11-27 08:10:12,salida,2629,car,145,152,127,140,164,165
132950,2025-11-27 08:27:43,salida,3096,car,151,151,136,138,166,164
141774,2025-11-27 08:37:31,salida,3393,truck,155,151,137,134,173,169
150292,2025-11-27 08:46:59,salida,3612,car,150,150,132,135,169,166
158362,2025-11-27 08:55:57,entrada,3875,car,150,152,123,135,177,169
158718,2025-11-27 08:56:21,salida,3898,truck,159,150,145,134,174,166
159934,2025-11-27 08:57:42,salida,3926,car,153,151,134,134,173,168
167818,2025-11-27 09:06:27,entrada,4280,car,141,153,121,141,162,166
174918,2025-11-27 09:14:21,entrada,4732,truck,156,154,137,137,175,172
177504,2025-11-27 09:17:13,salida,4856,truck,153,151,137,135,170,167
220716,2025-11-27 10:05:14,entrada,6160,car,143,153,107,135,179,171
221536,2025-11-27 10:06:09,entrada,6202,car,161,151,135,133,188,169
226954,2025-11-27 10:12:10,salida,6266,car,140,153,120,138,160,169
234264,2025-11-27 10:20:17,entrada,6405,car,155,152,132,133,179,171
238992,2025-11-27 10:25:32,salida,6546,truck,149,151,129,133,169,169
251524,2025-11-27 10:39:28,salida,6771,car,151,151,131,134,171,168
263668,2025-11-27 10:52:57,salida,7035,truck,154,150,137,130,172,171
264376,2025-11-27 10:53:45,entrada,7119,car,150,153,115,135,185,171
266006,2025-11-27 10:55:33,salida,7148,car,141,153,123,136,159,171
270650,2025-11-27 11:00:43,entrada,7247,car,154,152,126,137,183,167
276308,2025-11-27 11:07:00,entrada,7416,car,148,152,128,138,168,166
296108,2025-11-27 11:29:00,entrada,7869,car,157,152,127,135,188,169
305134,2025-11-27 11:39:02,salida,8077,car,148,152,133,134,164,170
305240,2025-11-27 11:39:09,salida,8082,car,142,152,124,137,160,167
316746,2025-11-27 11:51:56,entrada,8349,car,145,153,115,137,176,170
326752,2025-11-27 12:03:03,entrada,8575,car,148,152,133,137,163,168
327294,2025-11-27 12:03:39,entrada,8720,truck,150,153,131,132,170,174
348702,2025-11-27 12:27:26,salida,9137,car,167,149,151,131,183,167
361400,2025-11-27 12:41:33,salida,9429,car,148,152,128,136,169,169
