frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
93952,2025-11-22 07:44:23,salida,5343,truck,130,141,116,126,145,156
241620,2025-11-22 10:28:28,salida,8602,truck,132,139,113,122,152,157
247692,2025-11-22 10:35:12,entrada,8749,truck,136,143,98,122,175,164
270912,2025-11-22 11:01:00,salida,9390,car,135,140,115,122,155,159
294154,2025-11-22 11:26:50,salida,9840,truck,132,139,115,121,150,158
295800,2025-11-22 11:28:40,salida,9957,truck,131,140,113,122,150,158
302918,2025-11-22 11:36:34,salida,10106,car,123,139,106,125,140,154
315914,2025-11-22 11:51:00,entrada,10372,truck,138,142,114,119,163,166
343260,2025-11-22 12:21:24,salida,10947,car,139,140,121,123,157,158
365682,2025-11-22 12:46:18,entrada,11329,car,149,142,128,121,170,163
372600,2025-11-22 12:54:00,entrada,11539,car,152,140,132,122,172,159
375500,2025-11-22 12:57:13,entrada,11598,car,131,141,113,124,150,158
377280,2025-11-22 12:59:12,salida,10963,truck,130,141,113,119,147,164
390542,2025-11-22 13:13:56,salida,11797,car,135,139,114,120,156,159
397432,2025-11-22 13:21:35,salida,11905,car,134,140,113,121,155,160
398104,2025-11-22 13:22:20,salida,11917,car,136,140,117,123,155,157
399262,2025-11-22 13:23:37,entrada,11951,truck,137,141,116,122,159,161
414398,2025-11-22 13:40:26,salida,12137,truck,137,140,119,124,156,157
422844,2025-11-22 13:49:49,salida,12236,car,131,140,110,121,152,159
424804,2025-11-22 13:52:00,entrada,12265,car,140,140,110,124,170,157
436212,2025-11-22 14:04:40,salida,12409,truck,123,142,102,121,144,163
454590,2025-11-22 14:25:06,entrada,12885,truck,149,139,130,115,169,163
467992,2025-11-22 14:39:59,salida,13326,car,139,139,119,125,159,154
482268,2025-11-22 14:55:51,salida,9808,truck,142,139,124,124,161,155
485118,2025-11-22 14:59:01,entrada,13723,truck,133,142,96,123,170,162
493166,2025-11-22 15:07:57,entrada,13974,car,137,141,104,125,170,157
513826,2025-11-22 15:30:55,entrada,14591,car,127,142,106,125,148,159
515904,2025-11-22 15:33:13,entrada,14646,car,142,140,110,124,174,157
527114,2025-11-22 15:45:40,salida,14914,car,144,139,114,126,174,153
530340,2025-11-22 15:49:16,entrada,14984,car,144,140,112,122,177,158
534394,2025-11-22 15:53:46,salida,15071,car,130,141,112,128,148,155
555434,2025-11-22 16:17:08,salida,14984,truck,127,141,107,126,147,156
558730,2025-11-22 16:20:48,salida,15782,truck,141,138,124,125,158,152
581630,2025-11-22 16:46:15,entrada,16239,truck,126,145,101,129,152,161
581800,2025-11-22 16:46:26,salida,16216,car,129,140,107,124,152,157
604002,2025-11-22 17:11:06,entrada,16933,car,136,141,104,123,168,159
611094,2025-11-22 17:18:59,salida,17122,car,144,139,127,126,162,153
611102,2025-11-22 17:19:00,salida,17122,car,144,139,127,126,162,153
615276,2025-11-22 17:23:38,salida,17334,car,129,141,114,127,145,156
625120,2025-11-22 17:34:34,salida,17653,car,132,140,115,125,150,156
625136,2025-11-22 17:34:35,salida,17653,car,132,140,115,125,149,156
627206,2025-11-22 17:36:53,entrada,17712,car,143,140,120,126,167,155
629952,2025-11-22 17:39:56,entrada,17776,car,136,141,105,126,168,156
644040,2025-11-22 17:55:36,salida,18121,car,138,140,119,124,158,157
646200,2025-11-22 17:58:00,entrada,18293,car,135,141,109,122,162,160
655296,2025-11-22 18:08:06,entrada,18602,car,132,141,101,126,163,156
669696,2025-11-22 18:24:06,salida,18903,car,133,140,115,127,151,154
677006,2025-11-22 18:32:13,entrada,19131,truck,132,141,115,122,149,160
711832,2025-11-22 19:10:55,salida,17070,car,137,140,123,127,152,154
714314,2025-11-22 19:13:40,entrada,20053,car,132,141,105,126,160,156
718550,2025-11-22 19:18:23,entrada,20169,car,132,142,101,125,163,159
721990,2025-11-22 19:22:12,entrada,20251,truck,144,140,112,121,176,159
739136,2025-11-22 19:41:15,entrada,20929,truck,137,141,110,125,164,158
750372,2025-11-22 19:53:44,salida,21401,truck,146,139,128,119,164,160
755392,2025-11-22 19:59:19,entrada,21688,car,134,141,106,127,163,156
763134,2025-11-22 20:07:55,entrada,22104,car,134,141,104,124,165,159
776432,2025-11-22 20:22:42,salida,22822,car,122,142,100,125,145,159
793068,2025-11-22 20:41:11,entrada,23857,car,130,142,99,125,161,160
794054,2025-11-22 20:42:16,salida,23907,truck,134,139,118,125,150,153
798586,2025-11-22 20:47:19,entrada,24153,car,128,142,102,125,154,160
802640,2025-11-22 20:51:49,entrada,24421,car,126,142,91,124,161,161
806122,2025-11-22 20:55:41,entrada,24626,truck,139,141,117,117,161,165
