timestamp,evento
2025-11-24 06:42:46,entrada
2025-11-24 06:44:52,salida
2025-11-24 06:49:38,salida
2025-11-24 06:51:19,salida
2025-11-24 06:54:06,salida
2025-11-24 07:10:48,entrada
2025-11-24 07:19:35,salida
2025-11-24 07:37:18,salida
2025-11-24 07:58:38,salida
2025-11-24 08:00:16,salida
2025-11-24 08:08:06,salida
2025-11-24 08:11:40,entrada
2025-11-24 08:11:49,salida
2025-11-24 08:15:43,salida
2025-11-24 08:29:04,salida
2025-11-24 08:41:10,salida
2025-11-24 08:43:38,salida
2025-11-24 08:43:46,salida
2025-11-24 09:02:30,salida
2025-11-24 09:34:05,salida
2025-11-24 09:39:25,salida
2025-11-24 09:47:10,salida
2025-11-24 09:47:11,salida
2025-11-24 10:21:10,entrada
2025-11-24 10:22:00,entrada
2025-11-24 10:23:26,salida
2025-11-24 10:49:44,entrada
2025-11-24 11:14:29,salida
2025-11-24 11:20:55,entrada
2025-11-24 11:32:35,entrada
2025-11-24 11:52:04,salida
2025-11-24 11:58:16,salida
2025-11-24 12:04:39,entrada
2025-11-24 12:08:10,salida
2025-11-24 12:13:49,entrada
2025-11-24 12:25:23,entrada
2025-11-24 12:26:30,entrada
2025-11-24 12:43:19,entrada
2025-11-24 12:46:21,salida
2025-11-24 12:46:22,entrada
2025-11-24 12:46:26,entrada
2025-11-24 12:46:29,salida
2025-11-24 12:46:40,entrada
2025-11-24 13:06:12,entrada
2025-11-24 13:17:15,salida
2025-11-24 13:27:55,entrada
2025-11-24 13:41:43,entrada
2025-11-24 13:45:54,entrada
2025-11-24 13:50:28,salida
2025-11-24 13:54:25,salida
2025-11-24 13:56:11,salida
2025-11-24 13:59:40,salida
2025-11-24 14:01:10,entrada
2025-11-24 14:14:08,salida
2025-11-24 14:21:37,entrada
2025-11-24 14:24:02,entrada
2025-11-24 14:26:00,entrada
2025-11-24 14:28:56,entrada
2025-11-24 14:29:44,salida
2025-11-24 14:34:23,salida
2025-11-24 15:04:57,entrada
2025-11-24 15:13:40,entrada
2025-11-24 16:46:23,salida
2025-11-24 16:46:33,entrada
2025-11-24 17:08:47,entrada
2025-11-24 17:12:20,entrada
2025-11-24 17:16:30,salida
2025-11-24 17:18:03,entrada
2025-11-24 17:18:11,entrada
2025-11-24 17:22:41,salida
2025-11-24 17:23:49,salida
2025-11-24 17:26:29,salida
2025-11-24 17:47:51,entrada
2025-11-24 17:51:39,entrada
2025-11-24 17:55:44,salida
2025-11-24 17:55:53,entrada
2025-11-24 17:57:29,entrada
2025-11-24 18:00:12,entrada
2025-11-24 18:01:50,entrada
2025-11-24 18:10:10,salida
2025-11-24 18:10:11,entrada
2025-11-24 18:10:12,salida
2025-11-24 18:14:54,entrada
2025-11-24 18:18:11,salida
2025-11-24 18:23:42,entrada
2025-11-24 18:30:16,entrada
2025-11-24 18:35:35,entrada
2025-11-24 18:48:31,entrada
2025-11-24 18:51:33,entrada
2025-11-24 18:51:34,entrada
2025-11-24 19:00:59,salida
2025-11-24 19:09:02,entrada
2025-11-24 19:16:56,entrada
2025-11-24 19:21:24,entrada
2025-11-24 19:37:48,entrada
2025-11-24 19:39:33,entrada
2025-11-24 19:45:45,salida
2025-11-24 19:50:55,entrada
2025-11-24 20:07:54,entrada
2025-11-24 20:08:01,entrada
2025-11-24 20:10:49,entrada
2025-11-24 20:11:47,salida
2025-11-24 20:13:37,entrada
2025-11-24 20:22:36,entrada
2025-11-24 20:30:50,entrada
2025-11-24 20:41:06,salida
2025-11-24 20:47:53,entrada
2025-11-24 20:58:59,salida
2025-11-24 20:59:12,salida
