fecha,entradas,salidas,hora_pico_entrada,hora_pico_salida
2025-11-10,48,56,19,9 
2025-11-11,64,66,18,8
2025-11-12,42,42,18,7
2025-11-13,48,48,18,7
2025-11-14,53,57,15,7
2025-11-15,47,39,20,10
2025-11-16,49,41,13,12
2025-11-17,64,51,18,7
2025-11-18,46,44,12,7
2025-11-19,66,59,17,14
2025-11-20,48,50,18,15
2025-11-21,51,47,12,19
2025-11-22,30,32,19,17
2025-11-23,30,29,16,16
2025-11-24,59,50,18,8
2025-11-25,49,50,19,7
2025-11-26,59,51,20,7
2025-11-27,54,50,16,16
2025-11-28,54,47,16,16
2025-11-29,34,35,13,9
2025-11-30,32,30,20,14
