frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
32242,2025-11-18 06:35:49,entrada,527,car,145,141,117,128,173,154
38152,2025-11-18 06:42:23,salida,649,car,138,140,119,127,157,153
40626,2025-11-18 06:45:08,salida,686,car,142,140,123,125,161,155
46502,2025-11-18 06:51:40,salida,770,truck,145,139,130,124,161,155
57500,2025-11-18 07:03:53,salida,959,truck,141,140,125,126,158,155
70216,2025-11-18 07:18:01,salida,1192,car,153,138,139,125,167,151
76602,2025-11-18 07:25:06,salida,1390,car,141,140,127,128,155,153
81262,2025-11-18 07:30:17,entrada,1572,car,140,141,108,124,173,158
89044,2025-11-18 07:38:56,salida,1859,car,141,140,123,125,159,156
95344,2025-11-18 07:45:56,entrada,2197,car,143,140,125,126,162,154
100246,2025-11-18 07:51:23,salida,2387,car,135,137,121,125,150,150
102522,2025-11-18 07:53:54,salida,2502,car,148,136,135,123,162,149
114216,2025-11-18 08:06:54,salida,2800,car,140,140,121,127,160,154
114414,2025-11-18 08:07:07,salida,2824,car,137,141,117,128,157,154
119254,2025-11-18 08:12:30,entrada,2923,car,136,141,116,125,157,157
147522,2025-11-18 08:43:54,salida,3561,car,146,139,128,122,165,156
155134,2025-11-18 08:52:22,salida,3721,truck,138,140,122,124,155,157
177434,2025-11-18 09:17:08,salida,4031,car,142,140,124,125,161,156
193326,2025-11-18 09:34:48,entrada,4200,car,139,141,106,125,172,158
216472,2025-11-18 10:00:31,salida,4578,car,152,138,135,124,169,153
224346,2025-11-18 10:09:16,salida,4701,truck,143,140,126,125,161,156
224356,2025-11-18 10:09:17,entrada,4701,truck,143,141,126,125,160,157
224358,2025-11-18 10:09:17,salida,4701,truck,143,140,126,125,160,156
234518,2025-11-18 10:20:34,salida,4867,car,137,140,119,126,155,155
244354,2025-11-18 10:31:30,salida,5031,truck,150,137,128,119,172,156
247914,2025-11-18 10:35:27,salida,5071,truck,144,139,124,121,164,157
