frame_idx,timestamp,evento,track_id,clase,cx,cy,x1,y1,x2,y2
38504,2025-11-24 06:42:46,entrada,1408,car,151,152,125,140,178,165
40380,2025-11-24 06:44:52,salida,1481,car,160,150,146,137,174,164
44678,2025-11-24 06:49:38,salida,1596,truck,159,150,145,135,174,166
46194,2025-11-24 06:51:19,salida,1642,car,141,153,124,141,158,166
48702,2025-11-24 06:54:06,salida,1657,car,161,150,147,138,176,163
63722,2025-11-24 07:10:48,entrada,2188,truck,168,150,148,130,188,170
71634,2025-11-24 07:19:35,salida,2480,car,143,152,124,140,162,165
87578,2025-11-24 07:37:18,salida,3254,car,145,152,126,140,164,165
106770,2025-11-24 07:58:38,salida,4318,car,148,152,132,139,165,166
108248,2025-11-24 08:00:16,salida,4387,car,146,152,128,141,164,164
115304,2025-11-24 08:08:06,salida,4638,truck,158,149,143,134,173,165
118504,2025-11-24 08:11:40,entrada,4726,car,155,151,135,135,175,167
118648,2025-11-24 08:11:49,salida,4725,car,171,148,155,135,187,162
122152,2025-11-24 08:15:43,salida,4844,car,154,151,139,139,169,164
134160,2025-11-24 08:29:04,salida,5070,truck,153,151,137,136,170,167
145058,2025-11-24 08:41:10,salida,5343,truck,155,151,135,134,175,169
147274,2025-11-24 08:43:38,salida,5444,truck,158,150,145,137,172,164
147400,2025-11-24 08:43:46,salida,5437,truck,159,150,140,133,179,168
164250,2025-11-24 09:02:30,salida,5742,truck,157,150,139,136,176,165
192688,2025-11-24 09:34:05,salida,6358,truck,165,148,145,132,186,165
197484,2025-11-24 09:39:25,salida,6560,car,165,149,147,135,184,163
204458,2025-11-24 09:47:10,salida,6676,truck,164,149,150,136,178,162
204462,2025-11-24 09:47:10,entrada,6676,truck,162,151,145,135,180,168
204476,2025-11-24 09:47:11,salida,6676,truck,159,150,140,132,179,168
235052,2025-11-24 10:21:10,entrada,7112,car,154,152,124,133,184,171
235056,2025-11-24 10:21:10,salida,7112,car,156,151,127,133,185,170
